data_week,casos_est,casos_est_min,casos_est_max,casos,proba_disse>1,incidência_100khab,disseminação,população,tempmin,umidmax,umidmed,umidmin,tempmed,tempmax,municipio,estado,longitude,latitude
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16854.0,23.8571428571429,100.0,94.5383278571429,75.6792175714286,26.0952382857143,30.2857142857143,Nova Ipixuna,PA,-49.0822,-4.91622
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4059.0,19.1428571428571,100.0,88.3807742857143,71.2474151428571,21.9731092857143,25.4285714285714,São Geraldo Do Baixio,MG,-41.363,-18.9097
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26046.0,23.8571428571429,95.90974,85.8633342857143,68.6823111428571,25.7261902857143,29.4285714285714,Novo Aripuanã,AM,-60.3732,-5.12593
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2921.0,17.2857142857143,100.0,59.8471561428571,35.8902138571429,25.8120302857143,31.0,Lagoa Bonita Do Sul,RS,-53.017,-29.4939
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57913.0,17.001509113071,95.7142857142857,77.9991467142857,58.4285714285714,18.807398,22.8571428571429,União Da Vitória,PR,-51.0873,-26.2273
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10765.0,24.8333333333333,68.6602696666667,52.890705,42.3862368333333,28.6761363333333,31.3333333333333,Jaguari,RS,-54.703,-29.4936
2023-01-01,2.0,2.0,2.0,2.0,0.7006554,6.672227,1.6890239,29975.0,23.8571428571429,91.1309214285714,78.5008851428571,65.518146,26.1428571428571,29.0,Alegre,ES,-41.5382,-20.758
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.0,19.8571428571429,97.43022,81.1879514285714,61.1980821428571,23.315476,27.8571428571429,Dirce Reis,SP,-50.6073,-20.4642
2023-01-01,5.0,5.0,5.0,5.0,0.9508077,16.339869,3.870077,30600.0,26.0,85.1160938571429,74.4659814285714,62.0516348571429,28.1190474285714,30.7142857142857,Pau Dos Ferros,RN,-38.2077,-6.10498
2023-01-01,77.0,77.0,77.0,77.0,1.0,1033.0024,4.8877506,7454.0,19.7142857142857,95.0888271428571,81.4476584285714,64.9556557142857,23.1964282857143,27.7142857142857,Paulicéia,SP,-51.8321,-21.3153
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,19877.0,25.0,91.2725494285714,81.4517512857143,67.9483695714286,27.0416668571429,29.8571428571429,Ubaíra,BA,-39.666,-13.2714
2023-01-01,11.0,11.0,11.0,11.0,0.99681205,52.029137,5.4918222,21142.0,23.4285714285714,95.105695,80.4874877142857,67.0697505714286,26.9428571428571,30.0,Costa Rica,MS,-53.1287,-18.5432
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2856.0,22.5714285714286,98.3281828571429,84.5658091428571,65.9204768571429,25.6190477142857,29.5714285714286,Rio Dos Bois,TO,-48.5245,-9.34425
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2709.0,19.7142857142857,93.47419,71.8534712857143,46.8015004285714,24.7083334285714,30.2857142857143,Belmonte,SC,-53.5758,-26.843
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2709.0,19.7142857142857,93.47419,71.8534712857143,46.8015004285714,24.7083334285714,30.2857142857143,Belmonte,BA,-38.8758,-15.8608
2023-01-01,17.0,17.0,17.0,17.0,0.9656071,4.6548305,2.0906138,365212.0,26.0,85.1160938571429,74.4659814285714,62.0516348571429,28.1190474285714,30.7142857142857,Caucaia,CE,-38.6619,-3.72797
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,7278.0,22.5714285714286,98.3281828571429,84.5658091428571,65.9204768571429,25.6190477142857,29.5714285714286,Cristalândia,TO,-49.1942,-10.5985
2023-01-01,1.0,1.0,1.0,1.0,0.9572781,13.176967,15.875538,7589.0,19.4285714285714,98.2784314285714,85.2899204285714,62.9832121428571,22.2976191428571,26.5714285714286,Limeira Do Oeste,MG,-50.5815,-19.5512
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7719.0,19.1428571428571,100.0,88.3807742857143,71.2474151428571,21.9731092857143,25.4285714285714,Belo Vale,MG,-44.0275,-20.4077
2023-01-01,1.0,1.0,1.0,1.0,0.9573649,0.8081004,15.9085865,123747.0,25.8571428571429,91.9848044285714,76.53298,59.7326964285714,28.3571425714286,31.7142857142857,Paço Do Lumiar,MA,-44.1019,-2.51657
2023-01-01,1.0,1.0,1.0,1.0,0.9632669,18.463812,18.521107,5416.0,19.8571428571429,94.0882942857143,80.2161427142857,62.7471132857143,23.5119045714286,27.8571428571429,Santo Inácio,PR,-51.7969,-22.6957
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2778.0,19.4285714285714,94.8517742857143,65.3131172857143,43.3693377142857,25.691729,30.7142857142857,Boa Vista Do Sul,RS,-51.6687,-29.3544
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,10226.0,19.1428571428571,90.6827585714286,78.9210914285714,62.447904,21.5535717142857,25.0,Cristina,MG,-45.2673,-22.208
2023-01-01,2.0,2.0,2.0,2.0,0.59365046,20.7857,1.2495943,9622.0,18.0,95.7531114285714,82.8810574285714,67.2161872857143,22.3630951428571,27.0,Rondon,PR,-52.7659,-23.412
